300000;14402;24;345659;;;;;;;;;;;;;6763;563;;x
300000;12646;36;370949;;;;;;;;;;;;;6763;563;;x
300000;10889;48;396239;;;;;;;;;;;;;6763;563;;x
300000;9133;60;421529;;;;;;;;;;;;;6763;563;;x
300000;7376;72;446819;;;;;;;;;;;;;6763;563;;x
300000;5620;84;472109;;;;;;;;;;;;;6763;563;;x
600000;28805;24;691317;;;;;;;;;;;;;6763;563;;x
600000;25292;36;741897;;;;;;;;;;;;;6763;563;;x
600000;21779;48;792477;;;;;;;;;;;;;6763;563;;x
600000;18267;60;843058;;;;;;;;;;;;;6763;563;;x
600000;14754;72;893638;;;;;;;;;;;;;6763;563;;x
600000;11241;84;944218;;;;;;;;;;;;;6763;563;;x
1200000;57610;24;1382635;;;;;;;;;;;;;6763;563;;x
1200000;50584;36;1483795;;;;;;;;;;;;;6763;563;;x
1200000;43558;48;1584955;;;;;;;;;;;;;6763;563;;x
1200000;36533;60;1686116;;;;;;;;;;;;;6763;563;;x
1200000;29507;72;1686116;;;;;;;;;;;;;6763;563;;x
1200000;22481;84;1888436;;;;;;;;;;;;;6763;563;;x
1800000;86415;24;2073952;;;;;;;;;;;;;6763;563;;x
1800000;75876;36;2225693;;;;;;;;;;;;;6763;563;;x
1800000;65338;48;2377433;;;;;;;;;;;;;6763;563;;x
1800000;54799;60;2529174;;;;;;;;;;;;;6763;563;;x
1800000;44261;72;2680914;;;;;;;;;;;;;6763;563;;x
1800000;33722;84;2832655;;;;;;;;;;;;;6763;563;;x
2400000;115220;24;2765270;;;;;;;;;;;;;6763;563;;x
2400000;101169;36;2967591;;;;;;;;;;;;;6763;563;;x
2400000;87117;48;3169911;;;;;;;;;;;;;6763;563;;x
2400000;73066;60;3372232;;;;;;;;;;;;;6763;563;;x
2400000;59014;72;3574552;;;;;;;;;;;;;6763;563;;x
2400000;44963;84;3776873;;;;;;;;;;;;;6763;563;;x
3000000;144024;24;3456578;;;;;;;;;;;;;6763;563;;x
3000000;126460;36;3709481;;;;;;;;;;;;;6763;563;;x
3000000;108896;48;3962383;;;;;;;;;;;;;6763;563;;x
3000000;91331;60;4215286;;;;;;;;;;;;;6763;563;;x
3000000;73767;72;4468188;;;;;;;;;;;;;6763;563;;x
3000000;56203;84;4721091;;;;;;;;;;;;;6763;563;;
